地区,センター,燃やすごみ,プラスチック容器,かみ,カン,びん
Nanjyo(南條）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Naka（中）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Tatibanadai（立花台）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Utinaka（内中）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Takahara（高原）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nirayamakanaya(韮山金谷）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nirayamayamaki（韮山山木）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nirayamatada（韮山多田）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nagoya（奈古谷）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Daisen（大仙）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nagasaki（長崎）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Nirayamadotewada（韮山土手和田）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Baraki(原木）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Yokkamati(四日町）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Jike（寺家）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Jike21kumi（寺家21組）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Tyujyo（中條）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Tyujyou6kumi 8kumi(中條6組 8組）,韮山リサイクルプラザ,月 木,火,水1,水2 水4,水3
Mamanoue(墹之上）,長岡清掃センター,月 木,火,水1,水2 水4,水3
Ohito（大仁）,大仁清掃センター,月 木,火,水1,水3 水4,水3
